Region,Year,Land_Cover_Type,Area_sq_km,NDVI,Population_Density,Temperature_Anomaly
North America,2017,Wetlands,1590.2386306420437,0.14663646004446065,278.6760631701378,-1.3744009275040197
Asia,2013,Forest,3859.205028169016,0.45686116553873607,1049.9789196236281,-0.21960308045251078
Arctic,2024,Agriculture,3316.8339592193443,0.3419011559048436,40.196067907065824,1.9486645301211236
Asia,2014,Urban,6804.321389665518,0.259078088486167,1260.1481458961075,1.0059478593597342
North America,2005,Barren Land,4458.033507565123,0.1426781795328731,408.1186637292042,-0.6868206731304172
North America,2023,Water,1418.4786882011224,0.29025479869872395,212.73350468432366,0.2076041692676956
Arctic,2009,Urban,2785.6665805185557,0.1287931543112002,15.880166397534314,3.099058518684361
North America,2014,Agriculture,2362.505282710664,0.3171328338847237,399.15618046286835,0.2512693129286596
North America,2003,Forest,333.5247500359718,0.901833882179892,348.5848743952636,-1.857320945115783
Africa,2017,Water,14002.180222220832,0.12360388735932748,397.77346482002855,-0.4945207217337529
Arctic,2017,Barren Land,3432.6372267886813,0.126138811717378,38.38070785990384,2.904232403906887
Europe,2024,Wetlands,3899.54447256817,0.3250503840404465,617.1211663904162,0.7793754686656668
Europe,2016,Wetlands,5310.774483723635,0.8402318678480707,77.53808840607006,-2.249390669844755
North America,2011,Urban,5360.459745000179,0.29482206603861305,249.6501823890017,0.20073779061015654
Europe,2006,Barren Land,5760.657084353461,0.8073160692234541,277.3733835699544,0.9460045606820154
Europe,2015,Agriculture,2469.881124373331,0.45238331774182994,103.95664232640118,0.5389244881597188
North America,2010,Barren Land,2240.520497822217,0.7580496730211359,1325.5975949391204,0.6535749967454207
Europe,2013,Forest,6981.810069229044,0.9393538289728786,461.8866967265673,2.0623164204948403
Asia,2002,Urban,9488.842706275376,0.1679861836399999,116.25783953407368,-0.04345313958219695
South America,2018,Urban,591.0864321005998,0.3582277912781609,133.15313121832077,0.3047765451066457
Arctic,2017,Forest,6811.13772161821,0.4685945420236172,38.00292146150946,1.0605044884454018
South America,2009,Barren Land,2787.070418582714,0.8792775749958309,3.4679944061991685,-0.6346711229603367
North America,2005,Forest,3157.1977248150656,0.9518372242993589,187.10891327959303,-0.3319742378595674
Africa,2012,Water,266.5423036101495,0.7209629122044864,151.286465546387,0.849725656844782
Arctic,2009,Forest,3371.318107655737,0.5130450592629819,57.725069581725464,1.252391220446924
North America,2017,Barren Land,2095.6334214065746,0.43585539566767206,470.0499234816463,1.2346230896017003
Africa,2019,Forest,434.85496928332077,0.8720000961569881,145.30039770760774,-1.093166231745843
South America,2015,Agriculture,7449.7444787019695,0.2703129647328877,600.2933279534444,0.639604902921725
North America,2024,Wetlands,3867.263657425971,0.6862350837768616,734.630302019446,0.5520665589099164
Arctic,2024,Forest,4304.12601090842,0.43696957586514856,24.1196036475948,2.2574780873216382
Arctic,2005,Wetlands,7407.990398757411,0.3366097639534359,5.203364077740747,2.984638659046995
Australia,2012,Forest,5429.182887769816,0.9358205427428752,441.3310306708825,-0.7425413685042086
Asia,2003,Barren Land,992.8560415127367,0.43066835747968457,115.40957778032089,-0.4661267028606008
Europe,2022,Water,6307.301514791386,0.5358145056603932,224.7764917389276,-0.9633532081738034
Africa,2013,Water,1125.406381921703,0.1085339285562168,16.79779123278681,0.009012004299573603
Australia,2000,Wetlands,5139.180841133161,0.2168425304048192,207.99841264459184,-0.11994208689667714
Europe,2019,Barren Land,10822.285872355442,0.6153551405022573,143.53876755234262,0.8564550585020138
Europe,2004,Barren Land,5170.959107888286,0.549853759716036,347.57107648613356,0.38681169057933296
North America,2007,Barren Land,2553.1193412035914,0.2578660108331232,12.491598356799711,0.6894173243859768
Europe,2011,Agriculture,10577.124229183564,0.29477183532822526,294.2051567834748,-0.19712909818586982
Asia,2001,Urban,3854.604160995697,0.15010630461550659,443.4651026464013,0.405674474911667
Arctic,2011,Forest,1458.140267392256,0.40387906221288444,0.3858146807977454,3.81273541748791
Australia,2004,Barren Land,1961.000228719225,0.5877732821306408,415.8443251667355,-1.3455420838698489
Europe,2021,Barren Land,1906.369175013913,0.15565701134023185,41.84898268368397,-1.8390942726092698
North America,2004,Barren Land,12219.768600667832,0.7079513192098885,359.2542275090952,0.6369130224322067
Asia,2012,Water,5109.205943662654,0.31012765041762363,182.2430176679879,-0.848542733564475
South America,2008,Barren Land,5239.310365173182,0.6374077427235362,240.8827923604037,-1.3817312813799791
Arctic,2009,Forest,4640.436687519818,0.1192141654375442,12.345125469312642,2.5339077898464337
Arctic,2000,Barren Land,4069.9314083297986,0.4491685106876672,8.449664320454238,0.9956238498548717
Australia,2002,Forest,2265.249376931318,0.19712176386020555,22.109255677342155,1.5390560851002069
Arctic,2017,Agriculture,1162.8573252906126,0.34669361136039806,60.005602325617104,2.156469613976095
Europe,2011,Urban,4348.02939863172,0.21322571496099055,282.8129096470528,-0.20260583269436613
North America,2002,Water,10367.625934755215,0.16875135302731065,1218.8391058998927,-0.8215804174491776
Arctic,2024,Forest,4187.36978266807,0.07286901962436264,57.00411604426489,2.2151883738310905
Arctic,2008,Wetlands,7924.222627571536,0.19506628700667145,61.12211336245947,0.40907866132991977
South America,2001,Agriculture,570.1895457934436,0.7417791456057151,273.2787994820831,-2.468290027187743
South America,2002,Urban,4203.327106586916,0.0531683968900456,25.322043914604343,-1.55415405187961
Africa,2013,Urban,3219.8772690925075,0.2654075722649773,880.7084284081185,1.1371901565286588
Asia,2003,Urban,1388.795661830608,0.2497204084045564,37.630273520399534,-0.9241391445750605
Europe,2024,Forest,8938.322589905665,0.37491616970185654,218.41229035172597,-1.4345022661376445
Arctic,2018,Agriculture,2385.571706690087,0.08099681429395611,58.31706998548452,1.9111985973289147
Arctic,2012,Barren Land,5101.484427366029,0.4161287842216248,19.182961452140756,4.224687628990367
North America,2006,Wetlands,3076.193655671536,0.3402798421893792,54.338008774114925,1.0918946086607597
Africa,2011,Agriculture,1484.2586114243786,0.18910658542940892,168.16418673243263,-0.8004447469146592
Asia,2002,Agriculture,5613.338296539333,0.6452136626887328,1336.6983411042847,-0.8184641051466727
Africa,2022,Agriculture,3790.504980171034,0.2733449830333024,2999.335588780782,-0.7959551121142107
Australia,2022,Forest,6211.84465321681,0.5766055253401247,372.2273355352131,-0.9102646302881251
Asia,2008,Wetlands,1601.1755831727,0.14032443538882644,656.7563230699204,0.5437932981052039
Arctic,2001,Forest,2180.1569319711484,0.5366322954758903,1.356408964937154,1.664051514607153
Arctic,2021,Wetlands,4966.515727829519,0.22904845071019697,9.687738788796281,0.8868601226525346
Asia,2008,Wetlands,1718.6737944576414,0.8992879850476275,138.1155938722133,-1.33626712251715
Arctic,2011,Forest,5548.057981645752,0.24512394092835182,0.36210600396074993,4.301033609213353
Europe,2011,Wetlands,445.9934431275703,0.3782820447537756,141.94411607593645,0.7387462213769611
Asia,2014,Agriculture,1179.0590559867528,0.8316578626136588,29.29429593993476,-0.8560901394106828
Africa,2001,Forest,5317.83637615013,0.43628721969070866,262.29110427756484,1.2123594674626208
Asia,2017,Wetlands,5246.446858219573,0.4456044378530166,1.3287308730985194,-1.1523891741341
Arctic,2012,Urban,3669.1530140446957,0.03249766987426521,9.459816615906714,1.8628895065500402
Europe,2013,Forest,4820.044952869793,1.0372438925140566,603.6097991151856,-0.24656418765152777
Europe,2004,Water,2404.9235516779036,0.16812099268072178,71.88023981550991,0.18232616681675526
Australia,2009,Forest,402.19131699716905,0.8603375361939112,20.112392637464783,-0.9421022054881916
Africa,2011,Forest,3988.0967455015734,0.6370707780587299,103.43634580547497,0.1284912488197047
South America,2009,Forest,2708.1330221047747,0.17894893828563335,527.3095275276587,-1.748379644209843
South America,2023,Wetlands,7479.4593174332795,0.10136306243284494,265.4284360781123,-0.37673191401876105
Asia,2010,Forest,5470.145540174844,1.018131492986044,264.6206872122997,1.335230769649691
Australia,2024,Water,1278.710307445596,0.6937387233884351,0.17225294258103097,1.025352484616125
North America,2001,Barren Land,277.84025127707093,0.6491489948315319,191.68362786276873,-0.6960140932896717
Asia,2004,Forest,3061.367651487163,0.5410142693752531,92.61780115226752,-1.5259358828144642
Australia,2006,Urban,2134.2791070544617,0.1163564117475128,122.93638694785459,-2.1831448905128203
Africa,2005,Water,14782.88772286104,0.6438904597844591,328.68457367441874,0.6174708562230246
Africa,2021,Barren Land,11455.181571297058,0.5866408548936793,746.7025112858125,0.2783895326816345
Africa,2022,Wetlands,1482.905533080651,0.6810737558786691,72.17049592790602,0.3856731879715925
Africa,2002,Forest,8032.406167201615,0.47116081776025154,526.3111310769532,1.6906028035597378
Africa,2012,Barren Land,7160.820693235739,0.8895390084105522,18.049809198962212,0.15289424473517607
Australia,2002,Urban,4644.349363985589,0.061442769737130525,118.68228066761756,0.22808212606494668
Australia,2024,Water,16300.509941244716,0.16376129362897124,74.12050272218283,-1.3973795917137353
Europe,2023,Water,3140.4669111645394,0.833500678064492,741.5994385426723,1.6239370691663522
South America,2020,Wetlands,5819.862208159306,0.6181651479352348,58.80370107870527,-0.16395781876286394
Arctic,2005,Wetlands,6394.414923737372,0.18053362727284178,25.927455706614513,1.1831239122878263
Africa,2010,Wetlands,6548.387938840732,0.709562206160501,64.82300620049797,0.20785664336746804
North America,2016,Barren Land,9767.773019737062,0.4622187102824319,192.4419053213034,2.000311612340366
Arctic,2009,Forest,3912.316204321358,0.07013832422771142,16.002358628759694,4.135199189769899
Australia,2011,Agriculture,6163.989491246103,0.6208829355359659,12.67102101194206,-0.9703995756076688
North America,2016,Water,1900.12357964199,0.29448954967321833,524.3817940211942,1.1753716080206067
North America,2003,Agriculture,1170.5150512187274,0.19226809328805425,454.3920616082359,0.335731454937188
North America,2001,Water,4940.648178433639,0.28021854599952334,97.6601996266119,0.98759218424679
Europe,2010,Wetlands,3263.0803323147206,0.4809263049033988,285.57159326445657,0.2767163089199017
Australia,2006,Forest,3408.377076167386,0.16786217403191064,135.14011396831071,0.6148848880812876
North America,2001,Forest,2606.256413608223,0.9678262913083657,439.8964069390011,1.321305248578767
Africa,2017,Water,9105.833479090976,0.5479344132554895,424.5226719622097,-1.7491697409295013
Asia,2020,Barren Land,3859.8085844470465,0.33439694409233256,28.447193175570614,0.36037397531728566
North America,2003,Wetlands,13214.998838878766,0.6496038784709464,557.7318564094528,-1.1695121972813785
Europe,2007,Forest,3765.7261391054485,0.8920670371007436,59.32539350538178,-0.4635992993638447
Arctic,2019,Forest,4519.430280516428,0.35468382143207056,5.738799779485774,2.0009712844539793
Australia,2013,Urban,6599.083685382121,0.10479829821136755,396.99234727813405,-1.0078320523486117
Europe,2011,Forest,4916.488161784146,0.22587688334058595,60.727058409406304,-0.5813877965366484
North America,2021,Urban,1220.6856570818331,0.31516790305068376,39.168269602523274,-1.4007164612340683
Australia,2020,Forest,2903.094530325569,0.34529991700967094,122.65351636194633,-0.5932799607392092
Asia,2017,Forest,1788.8896769069186,0.1392791334503978,547.3700019545378,0.511851511258156
North America,2010,Barren Land,4736.371976593285,0.6143216865234017,58.37002013136851,0.8654526587190183
Europe,2007,Barren Land,4131.516716801199,0.22230826389145034,124.23356206366039,-0.7693787522488437
South America,2001,Wetlands,6319.275669761107,0.8927758558116602,101.16841589598407,1.3277913374262482
Africa,2024,Forest,10380.911601291209,0.9549415984698355,158.4543844003613,0.5773842243667222
Arctic,2014,Wetlands,1786.7217525627686,0.2933782904004871,37.581427498022144,3.433389071648439
Europe,2008,Wetlands,6825.869954416848,0.7670925140868348,155.9930006370757,-1.770777876088075
Australia,2018,Wetlands,7556.996190104219,0.476428560614957,427.6062244833276,0.31125087558144526
North America,2019,Wetlands,1470.4296943346626,0.7307889955699481,306.8315110428164,0.6112131480967128
Africa,2007,Water,6787.143367921535,0.6172268419177209,161.28217843904721,-1.718524070990591
North America,2024,Water,8515.564148026453,0.12291571837572475,169.81735842513254,2.414247891604123
Australia,2018,Forest,2866.4719309246916,1.0308073608507287,364.8366044623116,-0.636562542415029
North America,2004,Water,3423.87666824719,0.7887356625573497,229.55760555467992,0.5438586904362106
South America,2010,Forest,4503.818257095448,1.035271094969493,608.2600989108073,0.9267441835025471
Africa,2014,Barren Land,5710.403779864402,0.6850927476486526,974.089441024888,0.10118288488733676
Africa,2007,Agriculture,5990.436018581469,0.42964873732929776,455.3319223119922,1.3858280724602052
Australia,2018,Urban,5394.524994521611,0.10623527145161032,1358.6605815155026,1.9952132009853538
Arctic,2022,Water,5545.820722426653,0.12199853902634761,27.230098986967445,0.8903883460774928
South America,2007,Water,3332.9933325181405,0.21593299871021732,12.193724987768153,0.11614607122441208
Europe,2018,Barren Land,10430.081295928932,0.27648771411321416,210.86960536720588,0.9156768561104869
North America,2017,Water,1781.432929448712,0.5405088106779162,78.4130446072468,-1.633038713408516
Asia,2009,Forest,6187.498250347823,0.7763952607563273,121.81051231966953,1.0642732840174398
North America,2006,Forest,296.5782382153964,0.42149429857561743,202.04457595543875,1.7065357041242148
North America,2008,Agriculture,3604.7326856542113,0.5389975756062908,104.88886252818536,1.2838868623433726
Europe,2000,Agriculture,223.58678670526155,0.37300212756308015,111.15464461915467,0.43844488701934653
North America,2018,Agriculture,3791.3323500349793,0.6572079789391967,154.25755314490075,1.5394596354665748
South America,2004,Forest,4870.587099666809,1.068946771507441,101.25391948619415,0.3574512753341081
South America,2018,Wetlands,2664.351739105058,0.6512135747063068,55.71856446635826,-1.3196167481753767
Africa,2000,Wetlands,5285.580011238051,0.1472244614701227,522.2004146525481,-0.5218945393771243
Australia,2014,Agriculture,5835.346922680857,0.48178796626719145,150.8630708026162,-0.25562410801608837
Arctic,2015,Agriculture,27.09208966698109,0.3581549970538123,53.47043106379655,1.9360496261685687
Asia,2022,Forest,2306.812380918221,0.640551942003439,642.949611587892,-0.09422975631704027
North America,2006,Barren Land,8688.489956963687,0.8608504237783184,417.0467253923245,-0.3382503214232219
North America,2011,Water,1192.0790188832448,0.143817343363369,151.5888627790567,0.21884352396189993
Europe,2007,Urban,1972.9814133931168,0.13316977385461698,383.3096073297372,1.5042363041335034
Australia,2004,Wetlands,430.12079569230775,0.2765744861118309,50.60389128184411,0.21411251446994345
South America,2009,Wetlands,2324.66653842586,0.714097761410871,324.62901070557984,0.6287164818248245
Asia,2020,Forest,3199.6516237646792,0.6228413457446466,156.27898223902633,-2.193921492855155
Africa,2004,Forest,23864.330489314976,0.25281044289888555,383.78897212883777,0.12597718475777786
South America,2016,Urban,4648.129541508908,0.13138984430765696,421.6928122666435,1.0868348046605083
Australia,2004,Urban,2418.597485501987,0.20725098335883999,248.13147672606618,1.2468500679642167
Arctic,2021,Agriculture,764.9216901594745,0.4484515925014597,30.856801172221623,3.1451024649965627
Africa,2014,Urban,2980.8075362622703,0.15657355437291898,86.47130543836153,0.30341157182168993
Arctic,2012,Water,1653.0641868035586,0.11273043893587814,26.946125131618672,2.4139352318129816
Europe,2000,Water,337.5145877688489,0.4976532206333264,185.1194513850333,-0.6727212318446706
Europe,2010,Wetlands,1154.7489077913663,0.34814910178645264,167.61261110576206,0.8450183428948844
North America,2022,Water,2486.0440558694245,0.5527734590628385,158.45041867234298,-0.6673938189323864
Arctic,2000,Water,2797.670401635763,0.23668412111409037,11.17211249627016,2.680894217128392
Australia,2010,Water,5761.832242415072,0.6515919373700182,109.2975234009134,0.041512943143917666
Asia,2017,Agriculture,8956.350744766854,0.831432567094013,360.8984127955915,0.014941585539522004
Africa,2017,Wetlands,4120.702132527523,0.26041148061500086,293.75728502426807,1.0012418719963017
South America,2020,Forest,6333.92827060807,0.9083328675536622,9.122950455499364,0.5612069435201517
Australia,2015,Wetlands,2421.7078443768514,0.8594125724388283,14.922632612311904,0.2825974174594466
Australia,2012,Wetlands,1524.6279302686687,0.39888774521436976,253.27405656591762,-0.4977267980643674
Europe,2006,Wetlands,5559.430525476218,0.19093016047735906,561.7935432997091,1.6023132348898323
Arctic,2000,Urban,2387.6624670575525,0.1515057873252627,1.3492246850283636,2.332963473107192
North America,2015,Forest,1715.6907986514145,0.7930519770607094,212.29978131064502,0.7473873270408589
North America,2000,Urban,1456.56809554819,0.10806790554689656,571.4153839406524,0.08094711093703945
Africa,2016,Agriculture,993.4342737868017,0.4561788745460401,1.6048439227105582,-0.6937323028467162
Europe,2005,Agriculture,3515.962440706537,0.5623937651919102,96.80378072858085,0.3549454194342887
Australia,2001,Barren Land,2070.005269931597,0.23588326932113937,757.41956117334,-0.595765864046395
Asia,2016,Barren Land,6502.483916675416,0.6719302613036479,25.494090869845554,0.4377778074794453
Europe,2005,Agriculture,10547.204026406658,0.6519061931154853,280.18101121422353,-3.265301280016069
Africa,2013,Agriculture,2172.3777936219167,0.8097012900093029,254.88740749179743,-0.4008139519942132
Africa,2017,Urban,1384.8031919684913,0.22152734861702245,59.21877785809228,-0.014348690601181505
Europe,2005,Agriculture,9137.143940694163,0.5594504245565095,13.024797427577111,-0.9544283758629131
Africa,2009,Forest,5692.11826244994,0.7146118617305294,251.4005339742016,0.36378218391841105
